,output_First,output_Second,output_Upstream,output_Total
CHL_58T60,1000.0,7094.0,338106.0,346200.0
CHL_61,1000.0,7094.0,338106.0,346200.0
CHL_62T63,1000.0,7094.0,338106.0,346200.0
CHL_64T66,1000.0,7094.0,338106.0,346200.0
CHL_68,1000.0,7094.0,338106.0,346200.0
CHL_69T82,1000.0,7094.0,338106.0,346200.0
CHL_84,1000.0,7094.0,338106.0,346200.0
CHL_85,1000.0,7094.0,338106.0,346200.0
CHL_86T88,1000.0,7094.0,338106.0,346200.0
CHL_90T96,1000.0,7094.0,338106.0,346200.0
CHL_97T98,1000.0,7094.0,338106.0,346200.0
CZE_01T03,1000.0,7094.0,338106.0,346200.0
CZE_05T06,1000.0,7094.0,338106.0,346200.0
CZE_07T08,1000.0,7094.0,338106.0,346200.0
CZE_09,1000.0,7094.0,338106.0,346200.0
CZE_10T12,1000.0,7094.0,338106.0,346200.0
CZE_13T15,1000.0,7094.0,338106.0,346200.0
CZE_16,1000.0,7094.0,338106.0,346200.0
CZE_17T18,1000.0,7094.0,338106.0,346200.0
CZE_19,1000.0,7094.0,338106.0,346200.0
CZE_20T21,1000.0,7094.0,338106.0,346200.0
CZE_22,1000.0,7094.0,338106.0,346200.0
CZE_23,1000.0,7094.0,338106.0,346200.0
CZE_24,1000.0,7094.0,338106.0,346200.0
CZE_25,1000.0,7094.0,338106.0,346200.0
CZE_26,1000.0,7094.0,338106.0,346200.0
CZE_27,1000.0,7094.0,338106.0,346200.0
CZE_28,1000.0,7094.0,338106.0,346200.0
CZE_29,1000.0,7094.0,338106.0,346200.0
CZE_30,1000.0,7094.0,338106.0,346200.0
CZE_31T33,1000.0,7094.0,338106.0,346200.0
CZE_35T39,1000.0,7094.0,338106.0,346200.0
CZE_41T43,1000.0,7094.0,338106.0,346200.0
CZE_45T47,1000.0,7094.0,338106.0,346200.0
CZE_49T53,1000.0,7094.0,338106.0,346200.0
CZE_55T56,1000.0,7094.0,338106.0,346200.0
CZE_58T60,1000.0,7094.0,338106.0,346200.0
CZE_61,1000.0,7094.0,338106.0,346200.0
CZE_62T63,1000.0,7094.0,338106.0,346200.0
CZE_64T66,1000.0,7094.0,338106.0,346200.0
CZE_68,1000.0,7094.0,338106.0,346200.0
CZE_69T82,1000.0,7094.0,338106.0,346200.0
CZE_84,1000.0,7094.0,338106.0,346200.0
CZE_85,1000.0,7094.0,338106.0,346200.0
CZE_86T88,1000.0,7094.0,338106.0,346200.0
CZE_90T96,1000.0,7094.0,338106.0,346200.0
CZE_97T98,1000.0,7094.0,338106.0,346200.0
DNK_01T03,1000.0,7094.0,338106.0,346200.0
DNK_05T06,1000.0,7094.0,338106.0,346200.0
DNK_07T08,1000.0,7094.0,338106.0,346200.0
DNK_09,1000.0,7094.0,338106.0,346200.0
DNK_10T12,1000.0,7094.0,338106.0,346200.0
DNK_13T15,1000.0,7094.0,338106.0,346200.0
DNK_16,1000.0,7094.0,338106.0,346200.0
DNK_17T18,1000.0,7094.0,338106.0,346200.0
DNK_19,1000.0,7094.0,338106.0,346200.0
DNK_20T21,1000.0,7094.0,338106.0,346200.0
DNK_22,1000.0,7094.0,338106.0,346200.0
DNK_23,1000.0,7094.0,338106.0,346200.0
DNK_24,1000.0,7094.0,338106.0,346200.0
DNK_25,1000.0,7094.0,338106.0,346200.0
DNK_26,1000.0,7094.0,338106.0,346200.0
DNK_27,1000.0,7094.0,338106.0,346200.0
DNK_28,1000.0,7094.0,338106.0,346200.0
DNK_29,1000.0,7094.0,338106.0,346200.0
DNK_30,1000.0,7094.0,338106.0,346200.0
DNK_31T33,1000.0,7094.0,338106.0,346200.0
DNK_35T39,1000.0,7094.0,338106.0,346200.0
DNK_41T43,1000.0,7094.0,338106.0,346200.0
DNK_45T47,1000.0,7094.0,338106.0,346200.0
DNK_49T53,1000.0,7094.0,338106.0,346200.0
DNK_55T56,1000.0,7094.0,338106.0,346200.0
DNK_58T60,1000.0,7094.0,338106.0,346200.0
DNK_61,1000.0,7094.0,338106.0,346200.0
DNK_62T63,1000.0,7094.0,338106.0,346200.0
DNK_64T66,1000.0,7094.0,338106.0,346200.0
DNK_68,1000.0,7094.0,338106.0,346200.0
DNK_69T82,1000.0,7094.0,338106.0,346200.0
DNK_84,1000.0,7094.0,338106.0,346200.0
DNK_85,1000.0,7094.0,338106.0,346200.0
DNK_86T88,1000.0,7094.0,338106.0,346200.0
DNK_90T96,1000.0,7094.0,338106.0,346200.0
DNK_97T98,1000.0,7094.0,338106.0,346200.0
EST_01T03,1000.0,7094.0,338106.0,346200.0
EST_05T06,1000.0,7094.0,338106.0,346200.0
EST_07T08,1000.0,7094.0,338106.0,346200.0
EST_09,1000.0,7094.0,338106.0,346200.0
EST_10T12,1000.0,7094.0,338106.0,346200.0
EST_13T15,1000.0,7094.0,338106.0,346200.0
EST_16,1000.0,7094.0,338106.0,346200.0
EST_17T18,1000.0,7094.0,338106.0,346200.0
EST_19,1000.0,7094.0,338106.0,346200.0
EST_20T21,1000.0,7094.0,338106.0,346200.0
EST_22,1000.0,7094.0,338106.0,346200.0
EST_23,1000.0,7094.0,338106.0,346200.0
EST_24,1000.0,7094.0,338106.0,346200.0
EST_25,1000.0,7094.0,338106.0,346200.0
EST_26,1000.0,7094.0,338106.0,346200.0
EST_27,1000.0,7094.0,338106.0,346200.0
EST_28,1000.0,7094.0,338106.0,346200.0
EST_29,1000.0,7094.0,338106.0,346200.0
EST_30,1000.0,7094.0,338106.0,346200.0
EST_31T33,1000.0,7094.0,338106.0,346200.0
EST_35T39,1000.0,7094.0,338106.0,346200.0
EST_41T43,1000.0,7094.0,338106.0,346200.0
EST_45T47,1000.0,7094.0,338106.0,346200.0
EST_49T53,1000.0,7094.0,338106.0,346200.0
EST_55T56,1000.0,7094.0,338106.0,346200.0
EST_58T60,1000.0,7094.0,338106.0,346200.0
EST_61,1000.0,7094.0,338106.0,346200.0
EST_62T63,1000.0,7094.0,338106.0,346200.0
EST_64T66,1000.0,7094.0,338106.0,346200.0
EST_68,1000.0,7094.0,338106.0,346200.0
EST_69T82,1000.0,7094.0,338106.0,346200.0
EST_84,1000.0,7094.0,338106.0,346200.0
EST_85,1000.0,7094.0,338106.0,346200.0
EST_86T88,1000.0,7094.0,338106.0,346200.0
EST_90T96,1000.0,7094.0,338106.0,346200.0
EST_97T98,1000.0,7094.0,338106.0,346200.0
FIN_01T03,1000.0,7094.0,338106.0,346200.0
FIN_05T06,1000.0,7094.0,338106.0,346200.0
FIN_07T08,1000.0,7094.0,338106.0,346200.0
FIN_09,1000.0,7094.0,338106.0,346200.0
FIN_10T12,1000.0,7094.0,338106.0,346200.0
FIN_13T15,1000.0,7094.0,338106.0,346200.0
FIN_16,1000.0,7094.0,338106.0,346200.0
FIN_17T18,1000.0,7094.0,338106.0,346200.0
FIN_19,1000.0,7094.0,338106.0,346200.0
FIN_20T21,1000.0,7094.0,338106.0,346200.0
FIN_22,1000.0,7094.0,338106.0,346200.0
FIN_23,1000.0,7094.0,338106.0,346200.0
FIN_24,1000.0,7094.0,338106.0,346200.0
FIN_25,1000.0,7094.0,338106.0,346200.0
FIN_26,1000.0,7094.0,338106.0,346200.0
FIN_27,1000.0,7094.0,338106.0,346200.0
FIN_28,1000.0,7094.0,338106.0,346200.0
FIN_29,1000.0,7094.0,338106.0,346200.0
FIN_30,1000.0,7094.0,338106.0,346200.0
FIN_31T33,1000.0,7094.0,338106.0,346200.0
FIN_35T39,1000.0,7094.0,338106.0,346200.0
FIN_41T43,1000.0,7094.0,338106.0,346200.0
FIN_45T47,1000.0,7094.0,338106.0,346200.0
FIN_49T53,1000.0,7094.0,338106.0,346200.0
FIN_55T56,1000.0,7094.0,338106.0,346200.0
FIN_58T60,1000.0,7094.0,338106.0,346200.0
FIN_61,1000.0,7094.0,338106.0,346200.0
FIN_62T63,1000.0,7094.0,338106.0,346200.0
FIN_64T66,1000.0,7094.0,338106.0,346200.0
FIN_68,1000.0,7094.0,338106.0,346200.0
FIN_69T82,1000.0,7094.0,338106.0,346200.0
FIN_84,1000.0,7094.0,338106.0,346200.0
FIN_85,1000.0,7094.0,338106.0,346200.0
FIN_86T88,1000.0,7094.0,338106.0,346200.0
FIN_90T96,1000.0,7094.0,338106.0,346200.0
FIN_97T98,1000.0,7094.0,338106.0,346200.0
FRA_01T03,1000.0,7094.0,338106.0,346200.0
FRA_05T06,1000.0,7094.0,338106.0,346200.0
FRA_07T08,1000.0,7094.0,338106.0,346200.0
FRA_09,1000.0,7094.0,338106.0,346200.0
FRA_10T12,1000.0,7094.0,338106.0,346200.0
FRA_13T15,1000.0,7094.0,338106.0,346200.0
FRA_16,1000.0,7094.0,338106.0,346200.0
FRA_17T18,1000.0,7094.0,338106.0,346200.0
FRA_19,1000.0,7094.0,338106.0,346200.0
FRA_20T21,1000.0,7094.0,338106.0,346200.0
